sample_id,feature,shap_value,feature_value,model,target
83,linear_pH_value,-0.06993628408379823,7.5,linear,log_kcat_value
84,linear_pH_value,-0.21577592170029972,8.0,linear,log_kcat_value
85,linear_pH_value,0.0,7.5,linear,log_kcat_value
86,linear_pH_value,-0.20888163853666092,8.0,linear,log_kcat_value
87,linear_pH_value,-0.21034851971908194,8.0,linear,log_kcat_value
88,linear_pH_value,-0.20833474019899442,8.0,linear,log_kcat_value
89,linear_pH_value,0.0,7.5,linear,log_kcat_value
90,linear_pH_value,0.0,7.4,linear,log_kcat_value
91,linear_pH_value,-0.6324770105945957,9.5,linear,log_kcat_value
92,linear_pH_value,-0.09811719909793469,7.6,linear,log_kcat_value
93,linear_pH_value,0.011776890973949738,7.2,linear,log_kcat_value
94,linear_pH_value,-0.047752185556628836,7.4,linear,log_kcat_value
95,linear_pH_value,-0.04303466823379079,7.4,linear,log_kcat_value
96,linear_pH_value,-0.06858138324846755,7.5,linear,log_kcat_value
97,linear_pH_value,0.0,7.4,linear,log_kcat_value
98,linear_pH_value,0.0,7.2,linear,log_kcat_value
99,linear_pH_value,-0.1629005824316416,7.8,linear,log_kcat_value
0,linear_temperature_value,0.0,25.0,linear,log_kcat_value
1,linear_temperature_value,0.0,25.0,linear,log_kcat_value
2,linear_temperature_value,0.04107546058543554,37.0,linear,log_kcat_value
3,linear_temperature_value,-0.017958306321680433,30.0,linear,log_kcat_value
4,linear_temperature_value,0.0,30.0,linear,log_kcat_value
5,linear_temperature_value,0.0,35.0,linear,log_kcat_value
6,linear_temperature_value,0.14328984113719337,45.0,linear,log_kcat_value
7,linear_temperature_value,-0.10164682081676768,25.0,linear,log_kcat_value
8,linear_temperature_value,-0.07598794732795901,25.0,linear,log_kcat_value
9,linear_temperature_value,0.0,25.0,linear,log_kcat_value
10,linear_temperature_value,-0.08007160404935713,25.0,linear,log_kcat_value
11,linear_temperature_value,-0.10841302425453724,22.0,linear,log_kcat_value
12,linear_temperature_value,0.056270455248960294,37.0,linear,log_kcat_value
13,linear_temperature_value,-0.09807175455487743,24.0,linear,log_kcat_value
14,linear_temperature_value,-0.08286019797403764,25.0,linear,log_kcat_value
15,linear_temperature_value,-0.08338585340445283,24.0,linear,log_kcat_value
16,linear_temperature_value,0.0,24.0,linear,log_kcat_value
17,linear_temperature_value,0.0,37.0,linear,log_kcat_value
18,linear_temperature_value,-0.09588157624000074,23.0,linear,log_kcat_value
19,linear_temperature_value,0.0,30.0,linear,log_kcat_value
20,linear_temperature_value,0.05283903380834998,37.0,linear,log_kcat_value
21,linear_temperature_value,-0.0946562469399238,23.0,linear,log_kcat_value
22,linear_temperature_value,0.0,37.0,linear,log_kcat_value
23,linear_temperature_value,0.0,30.0,linear,log_kcat_value
24,linear_temperature_value,0.0,25.0,linear,log_kcat_value
25,linear_temperature_value,0.0,37.0,linear,log_kcat_value
26,linear_temperature_value,0.0,25.0,linear,log_kcat_value
27,linear_temperature_value,0.0,37.0,linear,log_kcat_value
28,linear_temperature_value,-0.07750269316970748,24.0,linear,log_kcat_value
29,linear_temperature_value,0.06106686080383253,37.0,linear,log_kcat_value
30,linear_temperature_value,0.0,37.0,linear,log_kcat_value
31,linear_temperature_value,0.0,37.0,linear,log_kcat_value
32,linear_temperature_value,0.0,37.0,linear,log_kcat_value
33,linear_temperature_value,-0.17672485353380754,15.0,linear,log_kcat_value
34,linear_temperature_value,0.0,25.0,linear,log_kcat_value
35,linear_temperature_value,0.0,25.0,linear,log_kcat_value
36,linear_temperature_value,0.05469980086974172,36.85000000000002,linear,log_kcat_value
37,linear_temperature_value,0.0,37.0,linear,log_kcat_value
38,linear_temperature_value,0.0,37.0,linear,log_kcat_value
39,linear_temperature_value,0.0,30.0,linear,log_kcat_value
40,linear_temperature_value,0.0,30.0,linear,log_kcat_value
41,linear_temperature_value,0.051908104129150034,37.0,linear,log_kcat_value
42,linear_temperature_value,-0.07184794183728169,25.0,linear,log_kcat_value
43,linear_temperature_value,0.0,28.0,linear,log_kcat_value
44,linear_temperature_value,-0.10981856241936339,22.0,linear,log_kcat_value
45,linear_temperature_value,0.0,30.0,linear,log_kcat_value
46,linear_temperature_value,-0.019609711798975082,30.0,linear,log_kcat_value
47,linear_temperature_value,0.0,35.0,linear,log_kcat_value
48,linear_temperature_value,0.0,37.0,linear,log_kcat_value
49,linear_temperature_value,-0.06056151632564111,25.0,linear,log_kcat_value
50,linear_temperature_value,0.0,37.0,linear,log_kcat_value
51,linear_temperature_value,0.0,32.0,linear,log_kcat_value
52,linear_temperature_value,-0.07213171869421353,25.0,linear,log_kcat_value
53,linear_temperature_value,-0.015402100736895245,30.0,linear,log_kcat_value
54,linear_temperature_value,0.0,32.0,linear,log_kcat_value
55,linear_temperature_value,-0.07296583406041564,25.0,linear,log_kcat_value
56,linear_temperature_value,0.0,25.0,linear,log_kcat_value
57,linear_temperature_value,0.0,30.0,linear,log_kcat_value
58,linear_temperature_value,0.2618366574641885,55.0,linear,log_kcat_value
59,linear_temperature_value,-0.07705938595409696,25.0,linear,log_kcat_value
60,linear_temperature_value,0.0,30.0,linear,log_kcat_value
61,linear_temperature_value,0.0,37.0,linear,log_kcat_value
62,linear_temperature_value,0.0,30.0,linear,log_kcat_value
63,linear_temperature_value,0.0,37.0,linear,log_kcat_value
64,linear_temperature_value,-0.1288162009287804,20.0,linear,log_kcat_value
65,linear_temperature_value,0.0,30.0,linear,log_kcat_value
66,linear_temperature_value,0.0,22.5,linear,log_kcat_value
67,linear_temperature_value,0.0,30.0,linear,log_kcat_value
68,linear_temperature_value,0.0,37.0,linear,log_kcat_value
69,linear_temperature_value,-0.022050897501893152,30.0,linear,log_kcat_value
70,linear_temperature_value,0.0606411340250695,37.0,linear,log_kcat_value
71,linear_temperature_value,0.0,25.0,linear,log_kcat_value
72,linear_temperature_value,-0.12618127027960058,20.0,linear,log_kcat_value
73,linear_temperature_value,0.0,30.0,linear,log_kcat_value
74,linear_temperature_value,-0.08097798021125334,25.0,linear,log_kcat_value
75,linear_temperature_value,-0.08210302305443751,25.0,linear,log_kcat_value
76,linear_temperature_value,0.0,25.0,linear,log_kcat_value
77,linear_temperature_value,0.2630007256823899,55.0,linear,log_kcat_value
78,linear_temperature_value,-0.01891046240128519,30.0,linear,log_kcat_value
79,linear_temperature_value,0.0,37.0,linear,log_kcat_value
80,linear_temperature_value,0.0,25.0,linear,log_kcat_value
81,linear_temperature_value,0.08886743940692982,40.0,linear,log_kcat_value
82,linear_temperature_value,-0.12984458111073194,20.0,linear,log_kcat_value
83,linear_temperature_value,0.05732164504306246,37.0,linear,log_kcat_value
84,linear_temperature_value,-0.08271241933264092,25.0,linear,log_kcat_value
85,linear_temperature_value,0.41490249784182287,70.0,linear,log_kcat_value
86,linear_temperature_value,-0.07387004672555196,25.0,linear,log_kcat_value
87,linear_temperature_value,0.0,37.0,linear,log_kcat_value
88,linear_temperature_value,-0.07306534712952267,25.0,linear,log_kcat_value
89,linear_temperature_value,0.048428636264362536,37.0,linear,log_kcat_value
90,linear_temperature_value,0.05275218928161485,37.0,linear,log_kcat_value
91,linear_temperature_value,0.0,30.0,linear,log_kcat_value
92,linear_temperature_value,0.0,37.0,linear,log_kcat_value
93,linear_temperature_value,0.05487431660941073,37.0,linear,log_kcat_value
94,linear_temperature_value,0.0,30.0,linear,log_kcat_value
95,linear_temperature_value,0.05327996029731885,37.0,linear,log_kcat_value
96,linear_temperature_value,0.0,37.0,linear,log_kcat_value
97,linear_temperature_value,0.0,37.0,linear,log_kcat_value
98,linear_temperature_value,-0.07319084860694582,25.0,linear,log_kcat_value
99,linear_temperature_value,-0.19716777733791097,15.0,linear,log_kcat_value
0,log_mol_wt,0.0,6.731916427612305,linear,log_kcat_value
1,log_mol_wt,0.0,5.707943916320801,linear,log_kcat_value
2,log_mol_wt,0.0,6.190985202789307,linear,log_kcat_value
3,log_mol_wt,-0.028566453255310854,5.8562517166137695,linear,log_kcat_value
4,log_mol_wt,-0.10024734353741557,6.500457286834717,linear,log_kcat_value
5,log_mol_wt,0.0,5.329045295715332,linear,log_kcat_value
6,log_mol_wt,0.0,6.069307327270508,linear,log_kcat_value
7,log_mol_wt,0.12391323782826648,3.785393476486206,linear,log_kcat_value
8,log_mol_wt,0.05097519087925136,4.891123294830322,linear,log_kcat_value
9,log_mol_wt,0.0,6.498941421508789,linear,log_kcat_value
10,log_mol_wt,0.02738437625810175,5.124207973480225,linear,log_kcat_value
11,log_mol_wt,0.0,5.849969863891602,linear,log_kcat_value
12,log_mol_wt,0.0,5.5057053565979,linear,log_kcat_value
13,log_mol_wt,0.0,6.540703773498535,linear,log_kcat_value
14,log_mol_wt,0.0,5.821132659912109,linear,log_kcat_value
15,log_mol_wt,0.0,4.728201866149902,linear,log_kcat_value
16,log_mol_wt,0.0,4.710214614868164,linear,log_kcat_value
17,log_mol_wt,0.0,4.805061340332031,linear,log_kcat_value
18,log_mol_wt,0.0,5.193823337554932,linear,log_kcat_value
19,log_mol_wt,-0.13989380711750143,7.222805500030518,linear,log_kcat_value
20,log_mol_wt,0.0,5.018080711364746,linear,log_kcat_value
21,log_mol_wt,0.0,4.941864013671875,linear,log_kcat_value
22,log_mol_wt,0.0,6.014785289764404,linear,log_kcat_value
23,log_mol_wt,0.0,6.180339813232422,linear,log_kcat_value
24,log_mol_wt,-0.0893357825520751,6.533179759979248,linear,log_kcat_value
25,log_mol_wt,0.0,6.898574352264404,linear,log_kcat_value
26,log_mol_wt,-0.08157584226948855,6.500457286834717,linear,log_kcat_value
27,log_mol_wt,-0.050216963004328874,6.263158321380615,linear,log_kcat_value
28,log_mol_wt,0.0,5.133248329162598,linear,log_kcat_value
29,log_mol_wt,0.0,5.1071085929870605,linear,log_kcat_value
30,log_mol_wt,-0.08792290008478228,6.504038333892822,linear,log_kcat_value
31,log_mol_wt,0.18206914804608115,3.4974162578582764,linear,log_kcat_value
32,log_mol_wt,0.0,6.267428398132324,linear,log_kcat_value
33,log_mol_wt,-0.08639869768754324,6.613954544067383,linear,log_kcat_value
34,log_mol_wt,0.0,6.613954544067383,linear,log_kcat_value
35,log_mol_wt,0.0,6.498941421508789,linear,log_kcat_value
36,log_mol_wt,0.0,5.2737531661987305,linear,log_kcat_value
37,log_mol_wt,0.0,6.259927749633789,linear,log_kcat_value
38,log_mol_wt,0.0,6.326718330383301,linear,log_kcat_value
39,log_mol_wt,0.12292117987688939,4.022580146789551,linear,log_kcat_value
40,log_mol_wt,0.12412316037875448,4.076401233673096,linear,log_kcat_value
41,log_mol_wt,0.0,5.830177307128906,linear,log_kcat_value
42,log_mol_wt,0.0,5.40387487411499,linear,log_kcat_value
43,log_mol_wt,-0.10258331536716829,6.613954544067383,linear,log_kcat_value
44,log_mol_wt,0.0,6.259927749633789,linear,log_kcat_value
45,log_mol_wt,0.0,4.85970401763916,linear,log_kcat_value
46,log_mol_wt,0.0,5.656826972961426,linear,log_kcat_value
47,log_mol_wt,0.0,4.853708744049072,linear,log_kcat_value
48,log_mol_wt,0.0,4.837193965911865,linear,log_kcat_value
49,log_mol_wt,0.0,5.311001777648926,linear,log_kcat_value
50,log_mol_wt,0.0,4.673874855041504,linear,log_kcat_value
51,log_mol_wt,0.0,5.588165760040283,linear,log_kcat_value
52,log_mol_wt,0.0,5.5612006187438965,linear,log_kcat_value
53,log_mol_wt,0.0,5.624988079071045,linear,log_kcat_value
54,log_mol_wt,0.02775715556938323,5.136133670806885,linear,log_kcat_value
55,log_mol_wt,-0.028699563835820976,5.8562517166137695,linear,log_kcat_value
56,log_mol_wt,0.0,6.612601280212402,linear,log_kcat_value
57,log_mol_wt,0.0,5.5612006187438965,linear,log_kcat_value
58,log_mol_wt,0.0,4.837162494659424,linear,log_kcat_value
59,log_mol_wt,0.0,5.730693817138672,linear,log_kcat_value
60,log_mol_wt,0.040008901523564136,4.9846062660217285,linear,log_kcat_value
61,log_mol_wt,0.0796278924983449,4.6256489753723145,linear,log_kcat_value
62,log_mol_wt,-0.09130653117563016,6.498941421508789,linear,log_kcat_value
63,log_mol_wt,0.0,5.210633277893066,linear,log_kcat_value
64,log_mol_wt,0.0,5.41232442855835,linear,log_kcat_value
65,log_mol_wt,0.08083548705550918,4.489692211151123,linear,log_kcat_value
66,log_mol_wt,0.0,6.500457286834717,linear,log_kcat_value
67,log_mol_wt,0.0,7.462864875793457,linear,log_kcat_value
68,log_mol_wt,-0.09021181628085964,6.6965131759643555,linear,log_kcat_value
69,log_mol_wt,0.05093774797007582,4.883339881896973,linear,log_kcat_value
70,log_mol_wt,0.0,5.1883463859558105,linear,log_kcat_value
71,log_mol_wt,0.0,5.407664775848389,linear,log_kcat_value
72,log_mol_wt,0.0,5.591841220855713,linear,log_kcat_value
73,log_mol_wt,0.055452046921122836,4.754210472106934,linear,log_kcat_value
74,log_mol_wt,0.0,5.678338050842285,linear,log_kcat_value
75,log_mol_wt,0.0,5.5612006187438965,linear,log_kcat_value
76,log_mol_wt,-0.10575945837670098,6.500457286834717,linear,log_kcat_value
77,log_mol_wt,0.0,4.501164436340332,linear,log_kcat_value
78,log_mol_wt,0.0,5.421349048614502,linear,log_kcat_value
79,log_mol_wt,0.0,6.788968563079834,linear,log_kcat_value
80,log_mol_wt,0.0,5.957556247711182,linear,log_kcat_value
81,log_mol_wt,0.0,5.193823337554932,linear,log_kcat_value
82,log_mol_wt,0.0,6.029299736022949,linear,log_kcat_value
83,log_mol_wt,0.04425150037354953,4.9846062660217285,linear,log_kcat_value
84,log_mol_wt,0.046507935023815124,4.891123294830322,linear,log_kcat_value
85,log_mol_wt,-0.08550516511931061,6.498941421508789,linear,log_kcat_value
86,log_mol_wt,0.0,5.193823337554932,linear,log_kcat_value
87,log_mol_wt,0.0,6.228869915008545,linear,log_kcat_value
88,log_mol_wt,0.047382554349846354,4.948894500732422,linear,log_kcat_value
89,log_mol_wt,0.014551952268977209,5.252765655517578,linear,log_kcat_value
90,log_mol_wt,-0.06361551266793183,6.180093288421631,linear,log_kcat_value
91,log_mol_wt,-0.0904497623695103,6.498941421508789,linear,log_kcat_value
92,log_mol_wt,-0.06289693196908636,6.228869915008545,linear,log_kcat_value
93,log_mol_wt,0.04146363324998877,4.991316795349121,linear,log_kcat_value
94,log_mol_wt,0.0,5.913881301879883,linear,log_kcat_value
95,log_mol_wt,0.0,5.681434631347656,linear,log_kcat_value
96,log_mol_wt,0.0,6.0572590827941895,linear,log_kcat_value
97,log_mol_wt,0.0,4.9423136711120605,linear,log_kcat_value
98,log_mol_wt,-0.017832274710476454,5.714913845062256,linear,log_kcat_value
99,log_mol_wt,0.0,6.094517230987549,linear,log_kcat_value
0,linear_log_p,-0.288222908582394,1.738700032234192,linear,log_kcat_value
1,linear_log_p,0.06286795270595819,-1.2265000343322754,linear,log_kcat_value
